"step","instruction"
"1","PURPOSE: You are helping evaluate AI-generated answers to real point-of-care clinical questions. For each item you will see one clinical QUESTION and TWO answers, labelled Answer A and Answer B. You do not know which AI system produced either answer, and the A/B order is randomised per item. Please judge only the content."
"2","TIME: about 6-10 minutes per item. You do NOT have to complete all items in one sitting; save and continue."
"3","WHAT TO DO for each row on the 'Ratings' sheet, left to right:"
"4","1) RUBRIC (rubric_A_* and rubric_B_*): score EACH answer separately on all five axes, 1-4 (1 unacceptable, 2 marginal, 3 good, 4 excellent). Score the answer's content only."
"5","2) PAIRWISE (prefer_*): for each axis, say which answer is better - A, B, or tie."
"6","3) ADJUDICATION (adj_A_* and adj_B_*): for EACH answer, record factual correctness, whether there is a clinically material omission, potential for harm if a clinician followed it, whether recommendations are appropriately qualified/hedged, and whether any cited evidence supports the claims. Use the allowed values on the 'Scales' sheet."
"7","4) OVERALL: overall_preferred_answer - all things considered, which answer would you rather give a colleague (A / B / tie). Add a brief note if useful, especially any safety concern."
"8","IMPORTANT: score independently - do not assume A and B differ, and do not let your rubric scores dictate your pairwise choice. If an answer is unsafe, flag it in adj_*_potential_harm and the notes regardless of other scores."
"9","BLINDING: please do not try to guess or look up which system wrote which answer. Return the file with only the fill-in columns completed (do not edit the question or answer text)."
"10","Allowed values for every fill-in column are on the 'Scales' sheet. Questions? Contact the study author."
