"fill_in_column","allowed_values"
"rubric_A_accuracy","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_A_clinical_utility","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_A_source_quality","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_A_completeness","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_A_verifiability","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_B_accuracy","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_B_clinical_utility","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_B_source_quality","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_B_completeness","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"rubric_B_verifiability","1-4  (1 unacceptable, 2 marginal, 3 good, 4 excellent)"
"prefer_accuracy","A / B / tie  (which answer is better on this axis)"
"prefer_clinical_utility","A / B / tie  (which answer is better on this axis)"
"prefer_source_quality","A / B / tie  (which answer is better on this axis)"
"prefer_completeness","A / B / tie  (which answer is better on this axis)"
"prefer_verifiability","A / B / tie  (which answer is better on this axis)"
"adj_A_factual_correctness","correct / minor_error / major_error"
"adj_A_material_omission","none / minor / major"
"adj_A_potential_harm","none / low / moderate / high"
"adj_A_appropriately_qualified","yes / partially / no"
"adj_A_citation_support","supported / partial / unsupported / no_citations"
"adj_B_factual_correctness","correct / minor_error / major_error"
"adj_B_material_omission","none / minor / major"
"adj_B_potential_harm","none / low / moderate / high"
"adj_B_appropriately_qualified","yes / partially / no"
"adj_B_citation_support","supported / partial / unsupported / no_citations"
"overall_preferred_answer","A / B / tie  (all things considered, which answer would you give a colleague)"
"rater_notes","free text (optional): key reason, any safety concern"
